photo_radiofreebarton	5	#82b674	#d3423b	#ba6e66	#4c4c42	#ff8ae0
photo_ssdginteriors	5	#97200b	#e6bca0	#d4d26a	#1e2609	#647746
photo_powi	5	#c5cfdd	#306ae3	#fdbf0d	#8d411d	#48631d
photo_joaquin_rosado	5	#7c6c99	#611f15	#e9c33a	#c9ccaf	#443d1a
photo_krikit	5	#c5c123	#ef0a0a	#4b60c7	#c4d1db	#755535
monet1	5	#a3aac5	#6a845a	#44677f	#844d55	#557570
seurat1	5	#9f5b48	#ecd9a4	#dad36c	#7e6577	#5a5d17
macke1	5	#e9d23b	#5972a9	#c55439	#7c5947	#ffe9b0
chikanobu2	5	#22011e	#72629c	#3f7626	#d80600	#d7dab6
homer1	5	#87a4b5	#a24012	#a58e5c	#28161f	#d4804b
