photo_radiofreebarton	5	#76ac69	#c7404d	#d16d54	#2d3747	#f78ddb
photo_ssdginteriors	5	#932e1c	#c9c3a0	#e3cb60	#32172b	#86773a
photo_powi	5	#dbdbe8	#467fc4	#dbc019	#904c0a	#4d7814
photo_joaquin_rosado	5	#87729b	#573b22	#e1cf3f	#c7d9b1	#343b12
photo_krikit	5	#b8cc13	#d01b1a	#275dc9	#a9d8e2	#566631
monet1	5	#8fb2b7	#5b8f45	#625f76	#723f33	#60756a
seurat1	5	#86512d	#e5edc5	#e2dc61	#7a5f55	#446a24
macke1	5	#e1e23a	#65769e	#c9503d	#626b31	#ecf4ae
chikanobu2	5	#140c15	#816a9c	#327415	#c81d02	#e8e1b5
homer1	5	#7285af	#982b2b	#a4a179	#29020f	#d27d4c
