photo_radiofreebarton	5	#7ca170	#cb3a4d	#c37350	#3a383c	#fd8ed4
photo_ssdginteriors	5	#9a2904	#c2bc94	#d5cd66	#2b271e	#7f5e44
photo_powi	5	#e0d8ef	#406ec5	#e7cc0c	#8d4c04	#575f04
photo_joaquin_rosado	5	#8d7095	#603125	#dfc642	#cdc3ad	#3b481f
photo_krikit	5	#c3c526	#e0190e	#3a5fd4	#b4d6eb	#55562d
monet1	5	#a59cb6	#688a49	#4e5789	#7a4443	#5f7768
seurat1	5	#915234	#d8daad	#f3dd62	#726063	#5a5c17
macke1	5	#edf344	#6a7795	#d25540	#705c35	#f4efa7
chikanobu2	5	#1d1011	#7a5998	#33691e	#c4120b	#e9d2ad
homer1	5	#7896af	#96322b	#ad9074	#1e0b0e	#de8541
