photo_radiofreebarton	5	#6eb273	#d83d51	#c0835c	#403c32	#ff97d0
photo_ssdginteriors	5	#a71b08	#c8cb98	#d2d569	#32361a	#89623f
photo_powi	5	#e6dae0	#346bcb	#e3b90c	#835f10	#5e6100
photo_joaquin_rosado	5	#846e95	#6b2436	#d2b53b	#ced6a6	#343517
photo_krikit	5	#b9ba1a	#e12d17	#3056d5	#a9c2e2	#655f34
monet1	5	#a6a2c2	#647a44	#525a7d	#794c33	#646465
seurat1	5	#955a2a	#e2cdb8	#ebdf5d	#7b6f68	#486017
macke1	5	#f9ea3f	#59808d	#db4730	#755f23	#e8f5b3
chikanobu2	5	#1d0414	#855391	#456030	#c61905	#ecdbb0
homer1	5	#708da9	#972c2f	#a89773	#261f18	#d18657
