photo_radiofreebarton	5	#79ab76	#d53e47	#c17458	#3d3936	#fd8dd5
photo_ssdginteriors	5	#9f280a	#ccbd9e	#d5d46a	#2b2819	#7f673b
photo_powi	5	#d7dde9	#4275ce	#eac213	#92520a	#4f660e
photo_joaquin_rosado	5	#846d97	#5f2927	#dac045	#c9c7b0	#33421b
photo_krikit	5	#bdc21e	#db2114	#3558cc	#b5ccee	#585f33
monet1	5	#9ba4ba	#62874e	#54557f	#70403e	#5f736b
seurat1	5	#994d33	#dadcb7	#eadb5a	#736064	#54661c
macke1	5	#f4ed3d	#677695	#ce4d38	#6c6231	#f1edb0
chikanobu2	5	#151113	#7c6297	#3c6823	#ce180d	#e4d2b4
homer1	5	#7290aa	#92342a	#a99976	#261317	#d9854b
