photo_radiofreebarton	5	#73a56e	#cf4245	#c6745f	#3a3633	#ff87d5
photo_ssdginteriors	5	#a72c0e	#c4be9b	#d0d26f	#2d2618	#7d6238
photo_powi	5	#d0dbe2	#4071cd	#ecc118	#935209	#4c660e
photo_joaquin_rosado	5	#7d6499	#5f212d	#debf3c	#caceaf	#343e14
photo_krikit	5	#b7c61e	#db2414	#3255d5	#b5cff2	#505d2b
monet1	5	#9ba3bd	#61854c	#57567d	#68383f	#60736c
seurat1	5	#964b33	#d3d3b0	#e4dd5a	#706264	#57621f
macke1	5	#f8e547	#6b6d9e	#ce5336	#6c6430	#eeeab6
chikanobu2	5	#0d0f14	#7b679a	#3d6721	#d21b06	#e9d1b5
homer1	5	#7892b0	#91342d	#ab9579	#201211	#d5864e
