chikanobu2	20	#1a1816	#cb3217	#cda775	#675b85	#e9ddcb	#987052	#44447e	#c39572	#803223	#c7655d	#ecbf9a	#1c264a	#644e3b	#ccc98a	#cf9835	#ea8420	#ae83b0	#718d8f	#3b221d	#7c6297
chikanobu2	20	#151113	#7c6297	#3c6823	#ce180d	#e4d2b4	#6c723a	#987052	#baac99	#0d2363	#327fae	#e47f4c	#4a555d	#b63e2c	#eadecf	#44447e	#8b7f6d	#ecbf9a	#803223	#ae83b0	#2e3129
chikanobu2	20	#ce180d	#e4ac79	#eadecf	#151113	#ae83b0	#3c6823	#803223	#644e3b	#e47f4c	#ab7238	#1c264a	#3b221d	#b41a10	#c6a7b0	#44447e	#e4d2b4	#c7655d	#327fae	#7c6297	#b63e2c
chikanobu2	20	#151113	#ce180d	#efe9ed	#e4ac79	#7c6297	#e47f4c	#44447e	#6c723a	#ea8420	#e15824	#eeb81d	#859b4d	#718d8f	#cf9835	#ab7238	#af9d65	#e4d2b4	#4a555d	#1c264a	#b63e2c
chikanobu2	20	#e2b68e	#151415	#84717f	#eadecb	#cb2c13	#e47f4c	#e4ac79	#e15824	#eeb81d	#0d2363	#1c264a	#644e3b	#baac99	#151113	#ecbf9a	#9fc4ca	#c39572	#af9d65	#ccc98a	#b41a10
homer1	20	#996648	#99907f	#2f1a1a	#c77044	#d59c65	#bf6944	#7290aa	#653c2c	#a6553a	#92342a	#c58364	#858f8f	#a96845	#e6a05b	#e5bd9c	#8d5a3d	#bea6ab	#f1cb8a	#4b352e	#160b0f
homer1	20	#7290aa	#92342a	#a99976	#261317	#d9854b	#b5804f	#160b0f	#bf6944	#898571	#8c6151	#a09d8e	#824330	#db915f	#9f826d	#c58364	#a6553a	#bea6ab	#c29a67	#762925	#8a7051
homer1	20	#ebb65b	#c55f37	#762925	#7290aa	#a96845	#858f8f	#4b352e	#ac3e28	#491c1d	#9f714e	#92342a	#a99976	#160b0f	#824330	#db915f	#261317	#a09d8e	#8c6151	#36161b	#b5804f
homer1	20	#7290aa	#36161b	#f1cb8a	#c55f37	#a6553a	#b5804f	#dfa470	#a98660	#e5bd9c	#c3784a	#695240	#9f714e	#a09d8e	#858f8f	#824330	#e6a05b	#8c6151	#d07340	#898571	#a96845
homer1	20	#c67044	#99907f	#d49460	#271617	#9e6d4d	#c58364	#ebb65b	#653c2c	#695240	#e6a05b	#898571	#ac3e28	#7290aa	#c55f37	#36161b	#c3784a	#858f8f	#9f714e	#9f826d	#f1cb8a
macke1	20	#e7ebce	#9ea35f	#efcd40	#835c3c	#76686c	#6e5131	#87a46e	#916534	#5d453b	#a24939	#cc9650	#abc878	#dbc699	#6c6231	#b3a25a	#6a6967	#677695	#b4bf3d	#886b5d	#98b8c7
macke1	20	#f4ed3d	#677695	#ce4d38	#6c6231	#f1edb0	#aeaa8f	#98b8c7	#6e5131	#e9c76d	#778643	#8fa445	#8d8884	#757c5d	#bca19a	#9f8c61	#87a46e	#8d7630	#cc9650	#5d453b	#eaeb74
macke1	20	#7a5a69	#e0e5ce	#424268	#eed242	#e78637	#abc878	#886b5d	#834a41	#4e4548	#87a46e	#ccad41	#a24939	#8fa445	#98b8c7	#bca19a	#9f8c61	#757c5d	#8d8884	#aeaa8f	#6a6967
macke1	20	#e0e5ce	#7a5a69	#8fa445	#e78637	#eed242	#aeaa8f	#f1edb0	#b4bf3d	#b3a25a	#f7bc30	#5a553f	#ccad41	#757c5d	#abc878	#bca19a	#6c6231	#8d8884	#f4a433	#778643	#dbc699
macke1	20	#e7ecd0	#7b6871	#725c48	#a6a15e	#eed140	#cc9650	#e0e5ce	#916534	#5a553f	#6c6231	#778643	#834a41	#87a46e	#e78637	#7a5a69	#f7bc30	#abc878	#ccad41	#8d7630	#b4bf3d
monet1	20	#6b8061	#acafbb	#7a808b	#574f68	#6a584d	#7e829c	#70928b	#658d65	#463b65	#645c57	#7d8e99	#736d4b	#5c6850	#5f736b	#54557f	#9793a1	#a1a6ad	#b1b0bf	#70403e	#55383d
monet1	20	#9ba4ba	#62874e	#54557f	#70403e	#5f736b	#8f8c84	#78715f	#b1b0bf	#b8bcc2	#736d4b	#4a354a	#615a45	#535e64	#4f4955	#7d8e99	#674d57	#604841	#797981	#81886d	#9793a1
monet1	20	#5d754f	#55383d	#7e829c	#a1a6ad	#463b65	#4a354a	#a7a89e	#62874e	#5f7083	#775b49	#564964	#604841	#658d65	#70928b	#78715f	#5b7e67	#4f4955	#7e8254	#797981	#54557f
monet1	20	#9ba4ba	#54557f	#5d754f	#739880	#70403e	#5f736b	#674d57	#463b65	#4a354a	#b1b0bf	#645c57	#4f4955	#736d4b	#7e8254	#b8bcc2	#604841	#797981	#775b49	#6d6373	#a7a89e
monet1	20	#6d6454	#698161	#584e64	#7d818e	#adb0bc	#658d65	#81886d	#9793a1	#6d6373	#5f736b	#736d4b	#85706e	#5b7e67	#7e8254	#674d57	#604841	#a1a6ad	#8f8c84	#70928b	#4f4955
photo_joaquin_rosado	20	#998d55	#aa9e95	#2e2b21	#7b6366	#fdfdfd	#634231	#8f8973	#9a7548	#5f2927	#99a1ac	#6b6559	#3f4335	#79744e	#655429	#28233a	#161513	#aba8a3	#978581	#4c6a52	#5a506b
photo_joaquin_rosado	20	#846d97	#5f2927	#dac045	#c9c7b0	#33421b	#28233a	#b8979e	#82524e	#857892	#323234	#99a1ac	#3f4335	#161513	#be7d81	#b6a867	#4c6a52	#966d71	#aba8a3	#a6986b	#4f5458
photo_joaquin_rosado	20	#846d97	#be7d81	#c4ac4c	#4f5458	#c9c7b0	#5f2927	#3f4335	#b8979e	#1f3281	#767e80	#6b6559	#99a1ac	#5c6c2b	#634346	#33421b	#e9edec	#dac045	#978581	#655429	#79744e
photo_joaquin_rosado	20	#be7d81	#b6a867	#846d97	#6b6559	#c9c7b0	#655429	#634346	#dac045	#8f8973	#4f5458	#8c8446	#4c6a52	#1f3281	#82524e	#5f2927	#9a7548	#93695b	#5c6c2b	#5a506b	#323234
photo_joaquin_rosado	20	#fbfbfa	#936c66	#666265	#a89f8d	#29281f	#aba8a3	#3f4335	#655429	#99a1ac	#82524e	#5c6c2b	#b6a867	#857892	#33421b	#634231	#5f2927	#c9c7b0	#767e80	#726870	#c4ac4c
photo_krikit	20	#b8cadf	#6b6e5a	#43221a	#9b9a28	#5674ba	#b3b554	#8388b2	#69651b	#6e4c1c	#1e1413	#bbbd8b	#132eb3	#a0a320	#566a83	#79868c	#7e8422	#272a5f	#5a7ab3	#86744c	#27318a
photo_krikit	20	#bdc21e	#db2114	#3558cc	#b5ccee	#585f33	#27318a	#b3b554	#838d72	#3d5da8	#43402f	#435583	#c77835	#8388b2	#60685d	#bbbd8b	#6e4c1c	#272a5f	#474e58	#6491e2	#a0a320
photo_krikit	20	#132eb3	#a0a320	#4d2d18	#930c12	#dfeaf0	#86744c	#8388b2	#a8b2b3	#1e1413	#3d5da8	#27318a	#c77835	#585f33	#242134	#435583	#43402f	#3b1218	#b5ccee	#7e8422	#9a841e
