photo_radiofreebarton	5	#7eb072	#da3c4c	#c6765d	#3d3b3b	#ff92d3
photo_ssdginteriors	5	#9d240b	#ccbe99	#d5d766	#27281b	#7a6b37
photo_powi	5	#d7e0ec	#3d7acc	#efc517	#90500e	#526910
photo_joaquin_rosado	5	#816b9c	#5b2b2b	#d9be44	#c5c7af	#35441c
photo_krikit	5	#bdc022	#d62219	#335bcc	#b3ccf1	#595c31
monet1	5	#99a8ba	#608c4e	#56547d	#6f413a	#616f67
seurat1	5	#964f2e	#d7dab9	#e6db5f	#6f5e67	#566120
macke1	5	#f1ea40	#6b7a9a	#c94a39	#71652d	#f3eaac
chikanobu2	5	#181014	#786694	#376721	#ce150b	#e0d1af
homer1	5	#748ea7	#8e3326	#a9987b	#291018	#d98147
